sample_ising,ising_energy,sample_vectorized,vectorized_energy
232,250.0,232,72.0
233,250.0,233,72.0
234,250.0,234,72.0
235,250.0,235,72.0
236,250.0,236,72.0
237,250.0,237,72.0
238,250.0,238,72.0
239,250.0,239,72.0
240,250.0,240,72.0
241,250.0,241,72.0
242,250.0,242,72.0
243,250.0,243,72.0
244,250.0,244,72.0
245,250.0,245,72.0
246,250.0,246,72.0
247,250.0,247,72.0
248,250.0,248,72.0
249,250.0,249,72.0
250,250.0,250,72.0
251,250.0,251,72.0
252,250.0,252,66.0
253,250.0,253,66.0
254,250.0,254,66.0
255,250.0,255,66.0
256,250.0,256,66.0
257,250.0,257,66.0
258,250.0,258,66.0
259,250.0,259,66.0
260,250.0,260,66.0
261,250.0,261,66.0
262,250.0,262,66.0
263,250.0,263,66.0
264,250.0,264,66.0
265,250.0,265,66.0
266,250.0,266,66.0
267,250.0,267,66.0
268,250.0,268,66.0
269,250.0,269,66.0
270,250.0,270,66.0
271,250.0,271,66.0
272,250.0,272,66.0
273,250.0,273,66.0
274,250.0,274,66.0
275,250.0,275,66.0
276,250.0,276,66.0
277,250.0,277,66.0
278,250.0,278,66.0
279,250.0,279,66.0
280,250.0,280,66.0
281,250.0,281,66.0
282,250.0,282,66.0
283,250.0,283,66.0
284,250.0,284,66.0
285,250.0,285,66.0
286,250.0,286,66.0
287,250.0,287,66.0
288,250.0,288,66.0
289,250.0,289,66.0
290,250.0,290,66.0
291,250.0,291,66.0
292,250.0,292,66.0
293,250.0,293,66.0
294,250.0,294,66.0
295,250.0,295,66.0
296,250.0,296,66.0
297,250.0,297,66.0
298,250.0,298,66.0
299,248.0,299,66.0
300,248.0,300,66.0
301,248.0,301,66.0
302,248.0,302,66.0
303,248.0,303,66.0
304,248.0,304,66.0
305,248.0,305,66.0
306,248.0,306,66.0
307,248.0,307,66.0
308,248.0,308,66.0
309,248.0,309,66.0
310,248.0,310,66.0
311,248.0,311,66.0
312,248.0,312,66.0
313,248.0,313,66.0
314,248.0,314,66.0
315,248.0,315,66.0
316,248.0,316,66.0
317,248.0,317,66.0
318,248.0,318,66.0
319,248.0,319,66.0
320,248.0,320,66.0
321,248.0,321,66.0
322,248.0,322,66.0
323,248.0,323,66.0
324,248.0,324,66.0
325,248.0,325,66.0
326,248.0,326,66.0
327,248.0,327,66.0
328,248.0,328,66.0
329,248.0,329,66.0
330,248.0,330,66.0
331,248.0,331,66.0
332,248.0,332,66.0
333,248.0,333,66.0
334,248.0,334,66.0
335,248.0,335,66.0
336,248.0,336,66.0
337,248.0,337,66.0
338,248.0,338,66.0
339,248.0,339,66.0
340,248.0,340,66.0
341,248.0,341,66.0
342,248.0,342,66.0
343,248.0,343,66.0
344,248.0,344,66.0
345,248.0,345,66.0
346,248.0,346,66.0
347,248.0,347,66.0
348,248.0,348,66.0
349,248.0,349,66.0
350,248.0,350,66.0
351,248.0,351,66.0
352,248.0,352,66.0
353,248.0,353,66.0
354,248.0,354,66.0
355,248.0,355,66.0
356,248.0,356,66.0
357,248.0,357,66.0
358,248.0,358,66.0
359,248.0,359,66.0
360,248.0,360,66.0
361,248.0,361,66.0
362,248.0,362,66.0
363,248.0,363,66.0
364,248.0,364,66.0
365,248.0,365,66.0
366,248.0,366,66.0
367,248.0,367,66.0
368,248.0,368,66.0
369,248.0,369,66.0
370,248.0,370,66.0
371,248.0,371,66.0
372,248.0,372,66.0
373,248.0,373,66.0
374,248.0,374,66.0
375,248.0,375,66.0
376,248.0,376,66.0
377,248.0,377,66.0
378,248.0,378,66.0
379,248.0,379,66.0
380,248.0,380,66.0
381,248.0,381,66.0
382,248.0,382,66.0
383,248.0,383,66.0
384,248.0,384,66.0
385,248.0,385,66.0
386,248.0,386,66.0
387,248.0,387,66.0
388,248.0,388,66.0
389,248.0,389,66.0
390,248.0,390,66.0
391,248.0,391,66.0
392,248.0,392,66.0
393,248.0,393,66.0
394,248.0,394,66.0
395,248.0,395,66.0
396,248.0,396,66.0
397,248.0,397,66.0
398,248.0,398,66.0
399,248.0,399,66.0
400,248.0,400,66.0
401,248.0,401,66.0
402,248.0,402,66.0
403,248.0,403,66.0
404,248.0,404,66.0
405,248.0,405,66.0
406,248.0,406,66.0
407,248.0,407,66.0
408,248.0,408,66.0
409,248.0,409,66.0
410,248.0,410,66.0
411,248.0,411,66.0
412,248.0,412,66.0
413,248.0,413,66.0
414,248.0,414,66.0
415,248.0,415,66.0
416,248.0,416,66.0
417,248.0,417,66.0
418,248.0,418,66.0
419,248.0,419,66.0
420,248.0,420,66.0
421,248.0,421,66.0
422,248.0,422,66.0
423,248.0,423,66.0
424,248.0,424,66.0
425,248.0,425,66.0
426,248.0,426,66.0
427,248.0,427,66.0
428,248.0,428,66.0
429,248.0,429,66.0
430,248.0,430,66.0
431,248.0,431,66.0
432,248.0,432,66.0
433,248.0,433,66.0
434,248.0,434,66.0
435,248.0,435,66.0
436,248.0,436,66.0
437,248.0,437,66.0
438,248.0,438,66.0
439,248.0,439,66.0
440,248.0,440,66.0
441,248.0,441,66.0
442,248.0,442,66.0
443,248.0,443,66.0
444,248.0,444,66.0
445,248.0,445,66.0
446,248.0,446,66.0
447,248.0,447,66.0
448,248.0,448,66.0
449,248.0,449,66.0
450,248.0,450,66.0
451,248.0,451,66.0
452,248.0,452,66.0
453,248.0,453,66.0
454,248.0,454,66.0
