sample_ising,ising_energy,sample_vectorized,vectorized_energy
265,62.0,265,168.0
266,62.0,266,168.0
267,58.0,267,168.0
268,58.0,268,164.0
269,58.0,269,164.0
270,60.0,270,164.0
271,58.0,271,164.0
272,62.0,272,164.0
273,60.0,273,164.0
274,60.0,274,164.0
275,64.0,275,166.0
276,64.0,276,164.0
277,64.0,277,164.0
278,62.0,278,166.0
279,58.0,279,166.0
280,62.0,280,166.0
281,58.0,281,166.0
282,58.0,282,166.0
283,58.0,283,166.0
284,60.0,284,168.0
285,60.0,285,170.0
286,58.0,286,168.0
287,60.0,287,168.0
288,58.0,288,166.0
289,58.0,289,168.0
290,58.0,290,170.0
291,58.0,291,170.0
292,58.0,292,170.0
293,58.0,293,172.0
294,60.0,294,172.0
295,58.0,295,172.0
296,64.0,296,172.0
297,58.0,297,174.0
298,60.0,298,174.0
299,64.0,299,174.0
300,60.0,300,174.0
301,58.0,301,172.0
302,58.0,302,172.0
303,60.0,303,172.0
304,64.0,304,178.0
305,66.0,305,178.0
306,64.0,306,178.0
307,62.0,307,176.0
308,60.0,308,180.0
309,58.0,309,180.0
310,62.0,310,176.0
311,66.0,311,176.0
312,70.0,312,174.0
313,68.0,313,174.0
314,68.0,314,170.0
315,68.0,315,170.0
316,62.0,316,172.0
317,64.0,317,172.0
318,62.0,318,172.0
319,66.0,319,178.0
320,62.0,320,176.0
321,62.0,321,176.0
322,62.0,322,180.0
323,64.0,323,178.0
324,64.0,324,178.0
325,64.0,325,180.0
326,64.0,326,180.0
327,62.0,327,178.0
328,66.0,328,178.0
329,62.0,329,180.0
330,62.0,330,178.0
331,64.0,331,182.0
332,66.0,332,182.0
333,62.0,333,176.0
334,64.0,334,174.0
335,64.0,335,174.0
336,70.0,336,174.0
337,62.0,337,174.0
338,62.0,338,174.0
339,66.0,339,174.0
340,62.0,340,172.0
341,60.0,341,172.0
342,66.0,342,178.0
343,64.0,343,178.0
344,58.0,344,180.0
345,62.0,345,182.0
346,60.0,346,180.0
347,58.0,347,174.0
348,58.0,348,176.0
349,62.0,349,176.0
350,60.0,350,180.0
351,60.0,351,174.0
352,60.0,352,176.0
353,60.0,353,172.0
354,58.0,354,172.0
355,60.0,355,172.0
356,58.0,356,168.0
357,58.0,357,168.0
358,56.0,358,168.0
359,60.0,359,168.0
360,56.0,360,166.0
361,56.0,361,164.0
362,56.0,362,164.0
363,58.0,363,162.0
364,60.0,364,166.0
365,60.0,365,168.0
366,60.0,366,166.0
367,62.0,367,166.0
368,62.0,368,162.0
369,60.0,369,162.0
370,60.0,370,164.0
371,58.0,371,166.0
372,62.0,372,166.0
373,62.0,373,166.0
374,62.0,374,166.0
375,62.0,375,166.0
376,60.0,376,166.0
377,58.0,377,166.0
378,60.0,378,166.0
379,56.0,379,172.0
380,54.0,380,172.0
381,58.0,381,166.0
382,56.0,382,164.0
383,54.0,383,162.0
384,54.0,384,162.0
385,54.0,385,162.0
386,56.0,386,166.0
387,54.0,387,162.0
388,54.0,388,162.0
389,54.0,389,166.0
390,56.0,390,162.0
391,54.0,391,162.0
392,56.0,392,162.0
393,54.0,393,166.0
394,54.0,394,166.0
395,56.0,395,166.0
396,54.0,396,164.0
397,54.0,397,170.0
398,54.0,398,168.0
399,54.0,399,164.0
400,54.0,400,164.0
401,54.0,401,164.0
402,56.0,402,168.0
403,56.0,403,172.0
404,58.0,404,166.0
405,58.0,405,166.0
406,56.0,406,166.0
407,54.0,407,162.0
408,56.0,408,168.0
409,54.0,409,164.0
410,54.0,410,162.0
411,52.0,411,162.0
412,52.0,412,162.0
413,52.0,413,162.0
414,54.0,414,162.0
415,54.0,415,160.0
416,56.0,416,156.0
417,54.0,417,156.0
418,56.0,418,158.0
419,56.0,419,160.0
420,56.0,420,160.0
421,56.0,421,158.0
422,56.0,422,160.0
423,56.0,423,164.0
424,56.0,424,156.0
425,56.0,425,158.0
426,56.0,426,154.0
427,58.0,427,152.0
428,60.0,428,152.0
429,60.0,429,154.0
430,58.0,430,154.0
431,60.0,431,150.0
432,60.0,432,150.0
433,58.0,433,152.0
434,56.0,434,158.0
435,56.0,435,158.0
436,56.0,436,158.0
437,58.0,437,158.0
438,56.0,438,158.0
439,58.0,439,162.0
440,60.0,440,160.0
441,64.0,441,156.0
442,58.0,442,156.0
443,60.0,443,164.0
444,58.0,444,164.0
445,62.0,445,162.0
446,60.0,446,166.0
447,60.0,447,166.0
